iter	Logloss
0	0.6522083489
1	0.6229601349
2	0.5978426939
3	0.5787115677
4	0.5638758918
5	0.5513191152
6	0.5431879738
7	0.5351890517
8	0.5292505296
9	0.5242909148
10	0.5192872618
11	0.5150824297
12	0.5117442458
13	0.5091812195
14	0.5065886318
15	0.5046381332
16	0.5024772353
17	0.5010733459
18	0.4995837771
19	0.4981717014
20	0.4967093243
21	0.4955365906
22	0.4943626268
23	0.4931749042
24	0.4922715284
25	0.49150409
26	0.4907066661
27	0.4899796243
28	0.4892220112
29	0.4886070144
30	0.4878083032
31	0.4871104189
32	0.4862875846
33	0.4855723569
34	0.4851252613
35	0.4844731745
36	0.4839968535
37	0.4834168194
38	0.4830457428
39	0.4826242583
40	0.4822349423
41	0.4818702376
42	0.4813694661
43	0.48099052
44	0.4805377889
45	0.4801534222
46	0.4798373808
47	0.4795236812
48	0.479255495
49	0.4789235512
50	0.4786677616
51	0.4783151434
52	0.4780521792
53	0.4777512924
54	0.4775115011
55	0.4772877833
56	0.4770682339
57	0.4768831133
58	0.4766704912
59	0.4764264824
60	0.4761742087
61	0.4759978607
62	0.4757289535
63	0.4755397933
64	0.475378064
65	0.4751579706
66	0.4750247836
67	0.4748249262
68	0.4745510867
69	0.474292299
70	0.4740565978
71	0.4737850189
72	0.4735198988
73	0.4733261035
74	0.4731611118
75	0.4730111526
76	0.4728287643
77	0.4726169928
78	0.4723887487
79	0.4722069773
80	0.4720587957
81	0.4718927147
82	0.4716242295
83	0.4714385151
84	0.4713143522
85	0.4711206769
86	0.471019764
87	0.4707740845
88	0.4706440269
89	0.4704815453
90	0.4703732384
91	0.4702030156
92	0.4700540541
93	0.4699247861
94	0.4697819694
95	0.4696893105
96	0.4695309393
97	0.4693213925
98	0.4691511607
99	0.4690585981
100	0.4689115954
101	0.468795387
102	0.4686610465
103	0.4685128044
104	0.4683774902
105	0.4682206881
106	0.4680757319
107	0.467954634
108	0.4678450245
109	0.4677247915
110	0.4675513041
111	0.467442375
112	0.4673317713
113	0.4672240714
114	0.4670978963
115	0.4669765504
116	0.4668343797
117	0.466734334
118	0.4666244943
119	0.4664964941
120	0.4663545535
121	0.4662169131
122	0.46603897
123	0.4659078714
124	0.4657744481
125	0.4656802978
126	0.4655443765
127	0.4654031718
128	0.4653110885
129	0.4651853579
130	0.4650530482
131	0.46491309
132	0.4647721746
133	0.4646260339
134	0.4644403036
135	0.464339643
136	0.4642030787
137	0.4640990396
138	0.4639989339
139	0.4638791675
140	0.4637806772
141	0.4636593631
142	0.4635162106
143	0.4633700607
144	0.4632322875
145	0.4631243537
146	0.4630109148
147	0.4628890773
148	0.462751244
149	0.4626529641
150	0.462542876
151	0.4624289278
152	0.462310997
153	0.4621551317
154	0.4620287731
155	0.4619273788
156	0.4617988672
157	0.4616751238
158	0.4614879824
159	0.4613684102
160	0.4612644127
161	0.4611750497
162	0.4610151352
163	0.4608983601
164	0.4608150975
165	0.4607391343
166	0.4606200845
167	0.460497789
168	0.4603771909
169	0.4602907805
170	0.4602001288
171	0.4601034193
172	0.4600110085
173	0.4599153018
174	0.4597778609
175	0.4596688888
176	0.4595752997
177	0.4594657989
178	0.4593896394
179	0.4592801465
180	0.4591916543
181	0.4590638159
182	0.4589633219
183	0.4588354924
184	0.4587099385
185	0.4586045346
186	0.4585286589
187	0.4584208826
188	0.458337058
189	0.4582394847
190	0.4581435165
191	0.4580620616
192	0.4579705041
193	0.4578899698
194	0.4577397267
195	0.4576322218
196	0.4575375403
197	0.4574326652
198	0.4573519134
199	0.4572468471
200	0.4571120757
201	0.4570292109
202	0.4569436123
203	0.4568488683
204	0.4567542224
205	0.4566657416
206	0.4565797279
207	0.4564915489
208	0.4563861774
209	0.4562869721
210	0.4561825906
211	0.4560908826
212	0.4559945165
213	0.455918395
214	0.4558453145
215	0.4557807753
216	0.4556681126
217	0.4555873939
218	0.4555009334
219	0.4554273851
220	0.455333509
221	0.455233184
222	0.4551458093
223	0.4550498171
224	0.4549420152
225	0.4548480174
226	0.4547701634
227	0.4546821816
228	0.454571139
229	0.4544932311
230	0.4543634246
231	0.4542924047
232	0.4542072149
233	0.4541045449
234	0.4539896135
235	0.4539353327
236	0.4538304968
237	0.4537694462
238	0.4536774933
239	0.4536243686
240	0.4535281198
241	0.4534378432
242	0.4533543844
243	0.4532443813
244	0.4531385961
245	0.4530459206
246	0.4529941209
247	0.4529350977
248	0.4528461655
249	0.4527692371
250	0.4526903307
251	0.4525904129
252	0.4525060043
253	0.4524232956
254	0.452344287
255	0.4522857369
256	0.4522106453
257	0.4521539852
258	0.4520698598
259	0.4520038898
260	0.4519291964
261	0.4518432225
262	0.451759472
263	0.4516992471
264	0.4516148078
265	0.4515361627
266	0.4514732078
267	0.4513638237
268	0.4512733905
269	0.4511853768
270	0.4511052664
271	0.451005656
272	0.4509198846
273	0.450850391
274	0.4507789307
275	0.4507062469
276	0.4506363931
277	0.4505710609
278	0.450498876
279	0.4504205324
280	0.4503437539
281	0.4502781835
282	0.4502118989
283	0.4501459259
284	0.450057839
285	0.4499671621
286	0.4498925859
287	0.4497916108
288	0.4497287687
289	0.4496532654
290	0.4495627633
291	0.4494898877
292	0.4494038137
293	0.4493099164
294	0.4492411371
295	0.4491536559
296	0.4490855707
297	0.44900078
298	0.4489325681
299	0.4488297024
300	0.4487274528
301	0.4486349761
302	0.4485629532
