iter	Passed	Remaining
0	15	3007
1	29	2884
2	40	2691
3	53	2626
4	65	2555
5	77	2499
6	89	2454
7	101	2431
8	117	2496
9	130	2485
10	143	2458
11	157	2470
12	171	2469
13	185	2471
14	197	2441
15	209	2412
16	223	2406
17	236	2393
18	249	2379
19	261	2356
20	274	2336
21	287	2324
22	300	2311
23	312	2288
24	323	2267
25	335	2247
26	347	2224
27	359	2209
28	371	2191
29	384	2177
30	396	2162
31	410	2156
32	423	2141
33	436	2129
34	448	2113
35	459	2095
36	472	2083
37	485	2068
38	500	2067
39	513	2052
40	524	2035
41	537	2022
42	549	2007
43	561	1992
44	574	1978
45	587	1968
46	600	1954
47	612	1938
48	624	1923
49	636	1910
50	650	1899
51	663	1887
52	676	1876
53	687	1859
54	700	1845
55	711	1830
56	723	1814
57	733	1795
58	744	1779
59	756	1764
60	768	1750
61	779	1735
62	791	1721
63	803	1706
64	814	1691
65	826	1678
66	837	1662
67	849	1648
68	860	1634
69	872	1620
70	883	1605
71	895	1591
72	905	1574
73	915	1559
74	927	1546
75	939	1532
76	950	1519
77	962	1505
78	974	1491
79	985	1478
80	997	1465
81	1009	1452
82	1021	1439
83	1033	1426
84	1045	1415
85	1057	1401
86	1069	1389
87	1083	1378
88	1095	1366
89	1107	1354
90	1120	1341
91	1136	1334
92	1152	1325
93	1167	1316
94	1182	1306
95	1197	1297
96	1213	1288
97	1236	1286
98	1390	1418
99	1412	1412
100	1435	1407
101	1453	1396
102	1474	1388
103	1496	1381
104	1514	1370
105	1536	1362
106	1557	1353
107	1572	1339
108	1585	1323
109	1604	1313
110	1626	1304
111	1640	1288
112	1652	1272
113	1665	1256
114	1677	1239
115	1689	1223
116	1701	1206
117	1713	1190
118	1724	1173
119	1736	1157
120	1748	1141
121	1760	1125
122	1773	1110
123	1787	1095
124	1799	1079
125	1811	1063
126	1822	1047
127	1834	1032
128	1846	1016
129	1859	1001
130	1871	986
131	1882	969
132	1893	953
133	1905	938
134	1916	922
135	1928	907
136	1940	892
137	1952	877
138	1963	861
139	1975	846
140	1987	831
141	1998	816
142	2010	801
143	2021	786
144	2033	771
145	2044	756
146	2056	741
147	2069	727
148	2081	712
149	2093	697
150	2105	683
151	2117	668
152	2128	653
153	2142	639
154	2154	625
155	2166	611
156	2178	596
157	2189	582
158	2201	567
159	2212	553
160	2224	538
161	2236	524
162	2247	510
163	2259	496
164	2272	482
165	2284	467
166	2296	453
167	2308	439
168	2321	425
169	2333	411
170	2345	397
171	2359	384
172	2372	370
173	2385	356
174	2397	342
175	2410	328
176	2424	315
177	2437	301
178	2450	287
179	2462	273
180	2475	259
181	2488	246
182	2501	232
183	2512	218
184	2525	204
185	2538	191
186	2550	177
187	2563	163
188	2574	149
189	2587	136
190	2600	122
191	2611	108
192	2622	95
193	2634	81
194	2646	67
195	2657	54
196	2669	40
197	2681	27
198	2693	13
199	2704	0
